[Investment Summary]
Particulars,Value
Total Deposit,💵 10468                        
Total Withdrawal,💵 -6915                        
<b>Total Invested</b>,💵 <b>3553                        </b>
Closed Equity,📑 -2202                        
Closed Options,📑 3248                        
Brokerage,🏦 -151                        
<b>Realised P/L</b>,💵 <b>895                        </b>
Other Charges,🏦 -22                        
<b> Matured Investment</b>,💵 <b>4426                        </b>
Active Equity,📑 -354                        
Active Options,📑 -52                        
<b>Unrealised P/L</b>,💵 <b>-406                        </b>
[Closed Equity Trades]
Symbol,Entry,Exit,Qty,Buy Price,Sell Price,Holding Period,Margin,P&L,Commission
UUP   260618P00028000,2026-06-11,2026-04-08,1.0,0.54,0.05,-64,-0.49000000000000005,-49.00000000000001,-1.049593
VG    260313C00010500,2026-03-04,2026-03-13,1.0,0.0,0.8,10,0.8,80.0,-1.90124
WULF  270319C00014000,2026-08-21,2026-08-18,1.0,4.9,5.9,-2,1.0,100.0,-1.590044
WULF  270319C00014000,,2026-08-21,0.0,5.1,5.9,1,0.8000000000000007,-0.0,-0.7873
WYFI  270115C00017500,2026-08-19,2026-08-19,1.0,6.45,6.8,0,0.34999999999999964,34.999999999999964,0.143342
ZENA  260417C00002500,2026-03-23,2026-04-17,1.0,0.0,0.3,26,0.3,30.0,-1.05374
ZENA  260515C00002500,2026-04-21,2026-05-15,1.0,0.0,0.22,25,0.22,22.0,-0.0016932
ZENA  260618C00002000,2026-06-08,2026-06-18,1.0,0.0,0.05,11,0.05,5.0,-1.901643
ZENA  260821C00002000,2026-08-07,2026-08-21,1.0,0.0,0.07,15,0.07,7.000000000000001,0.0165058
[Active Equity Positions]
Symbol,Buy Price,Current Price,qty,trade_date,Margin,P&L,Premium Collected,Brokerage Paid,Active Contract,Recovery Cost,Link
ALDX,3.2909375,1.52,200.0,2026-03-09,-1.7709375,-354.1875,180,-0.05124,,-174.23874,<table border=1 class=dataframe>  <thead>    <tr style=text-align: right;>      <th>Expiry</th>      <th>Days</th>      <th>ITM</th>      <th>ITM_Premium</th>      <th>ITM_percent</th>      <th>OTM</th>      <th>OTM_Premium</th>      <th>OTM_percent</th>    </tr>  </thead>  <tbody>    <tr>      <td>2026-09-18</td>      <td>27</td>      <td>2.0</td>      <td>0.6</td>      <td>39.47</td>      <td>NaN</td>      <td>NaN</td>      <td>NaN</td>    </tr>    <tr>      <td>2026-12-18</td>      <td>118</td>      <td>2.0</td>      <td>0.9</td>      <td>59.21</td>      <td>1.0</td>      <td>0.7</td>      <td>46.05</td>    </tr>    <tr>      <td>2027-03-19</td>      <td>209</td>      <td>2.0</td>      <td>0.9</td>      <td>59.21</td>      <td>NaN</td>      <td>NaN</td>      <td>NaN</td>    </tr>  </tbody></table>
[Active Option Positions]
Symbol,Entry Price,Current Price,qty,Expiry,Call/Put,Margin,P&L
ABUS  260918P00005000,0.1588006,0.125,1.0,2026-09-18,P,0.033800599999999986,-3.3800599999999985
ABUS  260918C00006000,0.048953,0.05,1.0,2026-09-18,C,-0.0010469999999999993,0.10469999999999993
ASST  260828P00018000,0.807873,0.9443,1.0,2026-08-28,P,-0.13642700000000008,13.642700000000008
ASST  260828C00020000,0.785553,0.495,1.0,2026-08-28,C,0.29055299999999995,-29.055299999999995
AVAH  270319P00012500,1.900333,2.0,1.0,2027-03-19,P,-0.09966699999999995,9.966699999999996
AVAH  270319C00015000,2.0604028,2.025,1.0,2027-03-19,C,0.035402799999999957,-3.5402799999999957
BSOL  270219C00012000,2.1304028,2.3738,1.0,2027-02-19,C,-0.24339719999999998,24.33972
CIFR  270319C00016000,4.8278006,5.0253,1.0,2027-03-19,C,-0.19749939999999988,19.749939999999988
FRMI  270617C00003000,3.500333,3.6281,1.0,2027-06-17,C,-0.12776699999999996,12.776699999999996
GAP   270115C00017000,4.355553,4.1923,1.0,2027-01-15,C,0.1632529999999992,-16.32529999999992
GRAB  270617C00002000,1.557673,1.6,1.0,2027-06-17,C,-0.042327000000000004,4.2327
GRAB  270617C00003500,0.857673,0.69,1.0,2027-06-17,C,0.16767300000000007,-16.767300000000006
RIOT  260828P00020000,0.947873,1.0339,1.0,2026-08-28,P,-0.08602700000000008,8.602700000000008
RIOT  260828C00020500,0.857873,0.695,1.0,2026-08-28,C,0.16287300000000005,-16.287300000000005
STWD  280121C00015000,1.8987825,1.6607,1.0,2028-01-21,C,0.23808249999999997,-23.808249999999997
WULF  270319C00014000,5.107873,4.9763,1.0,2027-03-19,C,0.1315729999999995,-13.15729999999995
FRMI  270617C00005000,2.55132157,2.7038,-1.0,2027-06-17,C,-0.1524784300000004,-15.247843000000039
GRAB  270617P00002000,0.06469245,0.0832,-1.0,2027-06-17,P,-0.018507549999999998,-1.8507549999999997
GRAB  270617P00003500,0.57228215,0.6348,-1.0,2027-06-17,P,-0.06251784999999999,-6.251784999999998
[Cash Transaction]
Transaction Date,Description,Value
2026-02-09,Deposit,13.612499999999999
2026-02-16,Deposit,272.26
2026-02-18,Deposit,258.647
2026-02-18,Deposit,136.13
2026-02-25,Withdrawal,-13.612499999999999
2026-02-25,Deposit,13.612499999999999
2026-02-26,Withdrawal,-13.612499999999999
2026-02-27,Deposit,816.75
2026-03-02,Deposit,2722.5
2026-03-03,Deposit,1334.0249999999999
2026-03-04,Deposit,816.75
2026-03-04,Deposit,1633.5
2026-03-05,Other Fees,-1.5001526
2026-03-05,Other Fees,-1.5001526
2026-03-11,Other Fees,-1.5
2026-03-11,Other Fees,-1.5
2026-04-02,Other Fees,1.5000423999999999
2026-04-02,Other Fees,1.5
2026-04-02,Other Fees,-1.5
2026-04-02,Other Fees,-1.5
2026-04-02,Other Fees,-1.5
2026-04-02,Other Fees,-1.5
2026-04-09,Withdrawal,-1987.3519999999999
2026-05-04,Other Fees,-1.5
2026-05-04,Other Fees,-1.5
2026-05-04,Other Fees,-1.5
2026-05-04,Other Fees,-1.5
2026-06-02,Other Fees,-1.5
2026-06-02,Other Fees,-1.5
2026-06-02,Other Fees,-1.5
2026-06-02,Other Fees,-1.5
2026-06-16,Deposit,2450.4300000000003
2026-06-16,Withdrawal,-2450.34
2026-06-17,Withdrawal,-2450.4300000000003
2026-07-02,Other Fees,-1.5
2026-07-02,Other Fees,-1.5
2026-07-02,Other Fees,-1.5
2026-07-02,Other Fees,-1.5
2026-07-29,Other Fees,10.85
2026-08-04,Other Fees,-1.5
2026-08-04,Other Fees,-1.5
2026-08-04,Other Fees,-1.5
2026-08-04,Other Fees,-1.5
