
[Valued Low Price Stock List]
Symbol,Rank,Strength,PE,ATH%,Intrinsic,LTP,Support,Support%,Volatility%,Day Support%,DS_Signal,Week Support%,WS_Signal,Details
SR,1387,M,17.7,16,60.62,80.2,50.58,58.56,2.22,,,32.96,2024-02-09,(Stock Name: Spire Inc.; Sector: Utilities; Revenue: 267.0cr; Net Profit: 27.0cr; Recommended: none; Projected High: 100.0; Projected Medium: 93.0; Projected Low: 85.0)
TSLX,2193,M,19.03,29,16.24,17.89,11.25,59.019999999999996,1.95,-3.71,2026-09-11,-3.71,2026-09-07,(Stock Name: Sixth Street Specialty Lending.; Sector: Financial Services; Revenue: 41.0cr; Net Profit: 9.0cr; Recommended: none; Projected High: 23.0; Projected Medium: 20.0; Projected Low: 17.5)
FMNB,2654,M,10.64,21,13.23,15.74,9.82,60.29,1.76,23,,23,2023-10-20,(Stock Name: Farmers National Banc Corp.; Sector: Financial Services; Revenue: 22.0cr; Net Profit: 7.0cr; Recommended: none; Projected High: 18.0; Projected Medium: 17.0; Projected Low: 16.0)
O,302,F,43.43,28,41.8,59.5,36.82,61.6,1.41,6.12,,6.12,2024-03-08,(Stock Name: Realty Income Corporation; Sector: Real Estate; Revenue: 607.0cr; Net Profit: 127.0cr; Recommended: buy; Projected High: 74.0; Projected Medium: 68.0; Projected Low: 61.5)
BMY,123,F,14.02,22,10.93,63.64,39.35,61.73,1.83,33.19,,33.19,2024-11-15,(Stock Name: Bristol-Myers Squibb Company; Sector: Healthcare; Revenue: 4919.0cr; Net Profit: 928.0cr; Recommended: buy; Projected High: 80.0; Projected Medium: 68.0; Projected Low: 40.0)
CTSH,488,F,12.88,36,32,60,37.08,61.809999999999995,3.07,-8.42,2026-09-11,-8.42,2026-09-11,(Stock Name: Cognizant Technology Solutions ; Sector: Technology; Revenue: 2164.0cr; Net Profit: 222.0cr; Recommended: buy; Projected High: 84.0; Projected Medium: 65.6; Projected Low: 42.0)
UTL,2622,F,16.91,19,34.01,53.09,32.8,61.86000000000001,1.82,15.97,,15.97,2026-01-16,(Stock Name: UNITIL Corporation; Sector: Utilities; Revenue: 60.0cr; Net Profit: 6.0cr; Recommended: none; Projected High: 57.0; Projected Medium: 55.0; Projected Low: 54.0)
OCFC,2136,F,23.19,39,24.5,18.78,11.6,61.9,1.89,23.91,,23.91,2023-10-27,(Stock Name: OceanFirst Financial Corp.; Sector: Financial Services; Revenue: 43.0cr; Net Profit: 5.0cr; Recommended: none; Projected High: 24.0; Projected Medium: 22.0; Projected Low: 21.0)
CUZ,1410,M,704.75,34,27.24,28.19,17.4,62.01,2.18,25.4,2026-04-20,25.4,2026-04-17,(Stock Name: Cousins Properties Incorporated; Sector: Real Estate; Revenue: 103.0cr; Net Profit: 1.0cr; Recommended: strong_buy; Projected High: 36.0; Projected Medium: 34.0; Projected Low: 30.0)
MGEE,1781,F,18.79,30,38.13,76.48,47.19,62.07,1.73,,,19.01,2023-02-10,(Stock Name: MGE Energy Inc.; Sector: Utilities; Revenue: 75.0cr; Net Profit: 15.0cr; Recommended: none; Projected High: 81.0; Projected Medium: 78.0; Projected Low: 74.0)
HSTM,2723,M,40.43,27,12.2,29.11,17.95,62.17,2.62,33.01,,33.01,2026-05-22,(Stock Name: HealthStream. Inc.; Sector: Healthcare; Revenue: 32.0cr; Net Profit: 2.0cr; Recommended: none; Projected High: 40.0; Projected Medium: 34.5; Projected Low: 29.0)
